FJ1654	Right anterior cerebral artery
FJ1654M	Left anterior cerebral artery
FJ1655	Anterior communicating artery
FJ1656	anterior inferior cerebellar artery
FJ1656M	Anterior inferior cerebellar artery
FJ1657	Right anterior spinal artery
FJ1657M	Left anterior spinal artery
FJ1658	Right anterior choroidal artery
FJ1658M	Left anterior choroidal artery
FJ1659	Right anterior temporal artery
FJ1659M	Left anterior temporal artery
FJ1660	Insular part of right middle cerebral artery
FJ1660M	Insular part of left middle cerebral artery
FJ1661	Anterior temporal branch of right lateral occipital artery
FJ1661M	Anterior temporal branch of left lateral occipital artery
FJ1662	Anterolateral central branch of right middle cerebral artery
FJ1662M	Anterolateral central branch of left middle cerebral artery
FJ1663	Anterolateral central branch of right middle cerebral artery
FJ1663M	Anterolateral central branch of left middle cerebral artery
FJ1664	artery of central sulcus
FJ1664M	Artery of central sulcus
FJ1665	artery of central sulcus
FJ1665M	Artery of central sulcus
FJ1666	Artery of right postcentral sulcus
FJ1666M	Artery of left postcentral sulcus
FJ1667	Right anterior parietal artery
FJ1667M	Left anterior parietal artery
FJ1668	Artery of right precentral sulcus
FJ1668M	Artery of left precentral sulcus
FJ1669	Artery of right precentral sulcus
FJ1669M	Artery of left precentral sulcus
FJ1670	Artery of right precentral sulcus
FJ1670M	Artery of left precentral sulcus
FJ1671	Precuneal branch of right pericallosal artery
FJ1671M	Precuneal branch of left pericallosal artery
FJ1672	Basilar artery
FJ1673	Branch of right middle cerebral artery to right angular gyrus
FJ1673M	Branch of left middle cerebral artery to left angular gyrus
FJ1674	Branch of right anterior choroidal artery to posterior limb of right internal capsule
FJ1674M	Branch of left anterior choroidal artery to posterior limb of left internal capsule
FJ1675	Right thalamogeniculate artery
FJ1675M	Left thalamogeniculate artery
FJ1676	Right callosomarginal artery
FJ1676M	Left callosomarginal artery
FJ1677	Right splenial artery
FJ1677M	Left splenial artery
FJ1678	Right splenial artery
FJ1678M	Left splenial artery
FJ1679	Hypothalamic branch of right posterior communicating artery
FJ1679M	Hypothalamic branch of left posterior communicating artery
FJ1680	Middle temporal branch of right lateral occipital artery
FJ1680M	Middle temporal branch of left lateral occipital artery
FJ1681	Intermediomedial branch of right callosomarginal artery
FJ1681M	Intermediomedial branch of left callosomarginal artery
FJ1682	Right internal carotid artery
FJ1682M	Left internal carotid artery
FJ1683	Lateral branch of right superior cerebellar artery
FJ1683M	Lateral branch of left superior cerebellar artery
FJ1684	Lateral branch of right pontine artery
FJ1684M	Lateral branch of left pontine artery
FJ1685	Right lateral frontobasal artery
FJ1685M	Left lateral frontobasal artery
FJ1686	Right lateral frontobasal artery
FJ1686M	Left lateral frontobasal artery
FJ1687	Right lateral occipital artery
FJ1687M	Left lateral occipital artery
FJ1688	Medial branch of right superior cerebellar artery
FJ1688M	Medial branch of left superior cerebellar artery
FJ1689	Medial branch of right pontine artery
FJ1689M	Medial branch of left pontine artery
FJ1690	Right medial frontobasal artery
FJ1690M	Left medial frontobasal artery
FJ1691	Right medial occipital artery
FJ1691M	Left medial occipital artery
FJ1692	Sphenoid part of right middle cerebral artery
FJ1692M	Sphenoid part of left middle cerebral artery
FJ1693	Middle temporal branch of right middle cerebral artery
FJ1693M	Middle temporal branch of left middle cerebral artery
FJ1694	Insular part of right middle cerebral artery
FJ1694M	Insular part of left middle cerebral artery
FJ1695	Right ophthalmic artery
FJ1695M	Left ophthalmic artery
FJ1696	Paracentral branch of right callosomarginal artery
FJ1696M	Paracentral branch of left callosomarginal artery
FJ1697	Paracentral branch of right callosomarginal artery
FJ1697M	Paracentral branch of left callosomarginal artery
FJ1698	Paracentral branch of right callosomarginal artery
FJ1698M	Paracentral branch of left callosomarginal artery
FJ1699	Right pericallosal artery
FJ1699M	Left pericallosal artery
FJ1700	Right posterior inferior cerebellar artery
FJ1700M	Left posterior inferior cerebellar artery
FJ1701	Right posterior inferior cerebellar artery
FJ1701M	Left posterior inferior cerebellar artery
FJ1702	Right posterior inferior cerebellar artery
FJ1702M	Left posterior inferior cerebellar artery
FJ1703	Right posterior inferior cerebellar artery
FJ1703M	Left posterior inferior cerebellar artery
FJ1704	Right posterior inferior cerebellar artery
FJ1704M	Left posterior inferior cerebellar artery
FJ1705	Right posterior inferior cerebellar artery
FJ1705M	Left posterior inferior cerebellar artery
FJ1706	Right posterior inferior cerebellar artery
FJ1706M	Left posterior inferior cerebellar artery
FJ1707	Right posterior inferior cerebellar artery
FJ1707M	Left posterior inferior cerebellar artery
FJ1708	Right posterior inferior cerebellar artery
FJ1708M	Left posterior inferior cerebellar artery
FJ1709	Right posterior inferior cerebellar artery
FJ1709M	Left posterior inferior cerebellar artery
FJ1710	Right posterior inferior cerebellar artery
FJ1710M	Left posterior inferior cerebellar artery
FJ1711	Right posterior inferior cerebellar artery
FJ1711M	Left posterior inferior cerebellar artery
FJ1712	Right polar temporal artery
FJ1712M	Left polar temporal artery
FJ1713	Right posterior communicating artery
FJ1713M	Left posterior communicating artery
FJ1714	Postcommunicating part of right posterior cerebral artery
FJ1714M	Postcommunicating part of left posterior cerebral artery
FJ1715	Right posterior inferior cerebellar artery
FJ1715M	Left posterior inferior cerebellar artery
FJ1716	Right posterior parietal artery
FJ1716M	Left posterior parietal artery
FJ1717	Posterior temporal branch of right middle cerebral artery
FJ1717M	Posterior temporal branch of left middle cerebral artery
FJ1718	Trunk of inferior terminal branch of right middle cerebral artery
FJ1718M	Trunk of inferior terminal branch of left middle cerebral artery
FJ1719	set of posterior temporal branches of lateral occipital artery
FJ1719M	Set of posterior temporal branches of lateral occipital artery
FJ1720	Right thalamoperforating artery
FJ1720M	Left thalamoperforating artery
FJ1721	Posteromedial central branch of right posterior cerebral artery
FJ1721M	Posteromedial central branch of left posterior cerebral artery
FJ1722	Posteromedial branch of right callosomarginal artery
FJ1722M	Posteromedial branch of left callosomarginal artery
FJ1723	Precommunicating part of right posterior cerebral artery
FJ1723M	Precommunicating part of left posterior cerebral artery
FJ1724	Right prefrontal artery
FJ1724M	Left prefrontal artery
FJ1725	Right vertebral artery
FJ1725M	Left vertebral artery
FJ1726	Right superior cerebellar artery
FJ1726M	Left superior cerebellar artery
FJ1727	Right posterior medial choroidal artery
FJ1727M	Left posterior medial choroidal artery
FJ1728	Superior vermian branch of medial branch of right superior cerebellar artery
FJ1728M	Superior vermian branch of medial branch of left superior cerebellar artery
FJ1729	Temporo-occipital branch of right middle cerebral artery
FJ1729M	Temporo-occipital branch of left middle cerebral artery
FJ1844	Basilar artery
FJ1846	Celiac artery
FJ1874	Left lobe branch of left hepatic artery
FJ1916	Caudate lobe branch of right hepatic artery
FJ1924	Right lobe branch of right hepatic artery
FJ1928	Superior mesenteric artery
FJ1931	Descending thoracic aorta
FJ1932	Abdominal aorta
FJ1933	Bronchial artery
FJ1934	Esophageal artery
FJ1935	Right superior intercostal artery
FJ1936	Right superior epigastric artery
FJ1937	Right internal thoracic artery
FJ1938	Right lateral thoracic artery
FJ1939	Right first posterior intercostal artery
FJ1950	Right second posterior intercostal artery
FJ1961	Posterior intercostal arteries
FJ1967	Right subcostal artery
FJ1969	Right musculophrenic artery
FJ1970	Left superior intercostal artery
FJ1971	Left superior epigastric artery
FJ1972	Left internal thoracic artery
FJ1973	Left first posterior intercostal artery
FJ1974	Left second posterior intercostal artery
FJ1975	Posterior intercostal arteries
FJ1976	Left lateral thoracic artery
FJ1977	Left subcostal artery
FJ1979	Left musculophrenic artery
FJ2011	Superior mesenteric artery
FJ2013	Celiac artery
FJ2025	Marginal colic artery
FJ2034	Ileal branch of inferior branch of ileocolic artery
FJ2038	Right renal artery
FJ2041	Right anterior segmental artery
FJ2042	Superior segmental branch of right renal artery
FJ2043	Inferior segmental branch of right renal artery
FJ2044	Right anterior segmental artery
FJ2045	Posterior segmental branch of right renal artery
FJ2046	Left renal artery
FJ2049	Inferior segmental branch of left renal artery
FJ2052	Superior segmental branch of left renal artery
FJ2053	Posterior segmental branch of left renal artery
FJ2054	Posterior segmental branch of left renal artery
FJ2055	Right dorsalis pedis artery
FJ2057	Descending branch of right lateral circumflex femoral artery
FJ2058	Distal perforating artery
FJ2063	Descending branch of left lateral circumflex femoral artery
FJ2064	Distal perforating artery
FJ2065	Left anterior tibial artery
FJ2066	Left anterior tibial recurrent artery
FJ2067	Left arcuate artery
FJ2068	Left deep plantar artery
FJ2069	Left descending genicular artery
FJ2072	Dorsal digital artery of foot
FJ2073	Left dorsalis pedis artery
FJ2074	Left femoral artery
FJ2076	Left inferior lateral genicular artery
FJ2077	Left inferior medial genicular artery
FJ2078	Left lateral circumflex femoral artery
FJ2079	Left lateral plantar artery
FJ2080	Left lateral superior genicular artery
FJ2081	Left lateral tarsal artery
FJ2082	Left medial plantar artery
FJ2083	Left medial superior genicular artery
FJ2084	Left middle genicular artery
FJ2085	Left plantar arch
FJ2086	Left popliteal artery
FJ2087	Left posterior tibial artery
FJ2089	Left superficial medial plantar artery
FJ2090	Set of perforating arteries
FJ2091	Set of calcaneal branches of posterior tibial artery
FJ2092	Set of common plantar digital arteries
FJ2093	Set of dorsal digital arteries
FJ2094	Set of perforating arteries
FJ2095	Set of plantar digital arteries proper
FJ2096	Plantar metatarsal artery
FJ2127	Set of perforating arteries
FJ2130	Right anterior tibial artery
FJ2131	Right anterior tibial recurrent artery
FJ2133	Right arcuate artery
FJ2136	Right deep plantar artery
FJ2137	Right descending genicular artery
FJ2141	Dorsal digital artery of foot
FJ2143	Right femoral artery
FJ2150	Right inferior lateral genicular artery
FJ2152	Right inferior medial genicular artery
FJ2158	Right lateral circumflex femoral artery
FJ2159	Right lateral plantar artery
FJ2162	Right lateral superior genicular artery
FJ2163	Right lateral tarsal artery
FJ2164	Right medial plantar artery
FJ2166	Right medial superior genicular artery
FJ2167	Right middle genicular artery
FJ2169	Right plantar arch
FJ2170	Right popliteal artery
FJ2172	Right posterior tibial artery
FJ2179	Right superficial medial plantar artery
FJ2195	Set of calcaneal branches of posterior tibial artery
FJ2196	Set of common plantar digital arteries
FJ2197	Set of dorsal digital arteries
FJ2203	Set of perforating arteries
FJ2204	Set of plantar digital arteries proper
