FJ1730	Third ventricle
FJ1731	Fourth ventricle
FJ1752	Interventricular foramen
FJ1767	Left lateral ventricle
FJ1814	Right lateral ventricle
FJ2417	Left anterior cusp of pulmonary valve
FJ2420	Anterior leaflet of mitral valve
FJ2421	Anterior leaflet of tricuspid valve
FJ2422	Cavity of left ventricle
FJ2423	Cavity of right ventricle
FJ2424	Cavity of right atrium
FJ2425	Cavity of left atrium
FJ2426	Left posterior cusp of aortic valve
FJ2427	Posterior cusp of pulmonary valve
FJ2428	Wall of ventricle
FJ2431	Right posterior cusp of aortic valve
FJ2432	Posterior leaflet of mitral valve
FJ2433	Posterior leaflet of tricuspid valve
FJ2434	Right anterior cusp of pulmonary valve
FJ2435	Anterior cusp of aortic valve
FJ2436	Septal leaflet of tricuspid valve
FJ2438	Wall of left atrium
FJ2439	Wall of right atrium
