FJ1284	Check ligament of left lateral rectus
FJ1292	Check ligament of left medial rectus
FJ1329	Trochlea of left superior oblique
FJ1334	Check ligament of right lateral rectus
FJ1335	Check ligament of right medial rectus
FJ1343	Tendon of right levator palpebrae superioris
FJ1380	Trochlea of right superior oblique
FJ1392	Interosseous membrane of right leg
FJ1392M	Interosseous membrane of left leg
FJ1405	Right calcaneal tendon
FJ1405M	Left calcaneal tendon
FJ1424	Right long plantar ligament
FJ1424M	Left long plantar ligament
FJ1438	Right tensor fasciae latae
FJ1438M	Left tensor fasciae latae
FJ1448	Linea alba
FJ1465	tendinous arch of levator ani
FJ1465M	Tendinous arch of levator ani
FJ1476	Interosseous membrane of right forearm
FJ1476M	Interosseous membrane of left forearm
FJ1581	Right intermediate tendon
FJ2552	Tendinous arch of levator ani
FJ2553	Tendinous arch of levator ani
FJ2744	Left pterygomandibular raphe
FJ2749	Pharyngeal raphe
FJ2756	Right pterygomandibular raphe
FJ2763	Left stylohyoid ligament
FJ2764	Right stylohyoid ligament
FJ2771	Hyo-epiglottic ligament
FJ2777	Left conus elasticus
FJ2779	Left lateral thyrohyoid ligament
FJ2786	Left thyrohyoid membrane
FJ2787	Left vocal ligament
FJ2789	Median cricothyroid ligament
FJ2790	Median thyrohyoid ligament
FJ2794	Right conus elasticus
FJ2797	Right lateral thyrohyoid ligament
FJ2804	Right thyrohyoid membrane
FJ2805	Right vocal ligament
FJ2807	Thyro-epiglottic ligament
