FJ1883	Caudate lobe tributary of left hepatic biliary tree
FJ1895	Pancreas
FJ1896	Pancreatic duct
FJ2563	Esophagus
FJ2564	Stomach
FJ2565	Appendix
FJ2566	Ascending colon
FJ2567	Descending colon
FJ2568	Taenia libera
FJ2569	Taenia mesocolica
FJ2570	Taenia omentalis
FJ2571	Rectum
FJ2572	Transverse colon
FJ2573	Duodenum
FJ2574	Proximal part of ileum
FJ2575	Proximal part of ileum
FJ2576	Middle part of ileum
FJ2577	Middle part of ileum
FJ2578	Middle part of ileum
FJ2579	Middle part of ileum
FJ2580	Middle part of ileum
FJ2581	Middle part of ileum
FJ2582	Middle part of ileum
FJ2583	Middle part of ileum
FJ2584	Middle part of ileum
FJ2585	Proximal part of ileum
FJ2586	Middle part of ileum
FJ2587	Distal part of ileum
FJ2588	Distal part of ileum
FJ2589	Distal part of ileum
FJ2590	Distal part of ileum
FJ2591	Distal part of ileum
FJ2592	Distal part of ileum
FJ2593	Distal part of ileum
FJ2594	Distal part of ileum
FJ2595	Distal part of ileum
FJ2596	Proximal part of ileum
FJ2597	Distal part of ileum
FJ2598	Distal part of ileum
FJ2599	Ileocecal junction
FJ2600	Proximal part of ileum
FJ2601	Proximal part of ileum
FJ2602	Proximal part of ileum
FJ2603	Proximal part of ileum
FJ2604	Proximal part of ileum
FJ2605	Proximal part of ileum
FJ2606	Proximal part of jejunum
FJ2607	Middle part of jejunum
FJ2608	Middle part of jejunum
FJ2609	Middle part of jejunum
FJ2610	Middle part of jejunum
FJ2611	Distal part of jejunum
FJ2612	Distal part of jejunum
FJ2613	Distal part of jejunum
FJ2614	Distal part of jejunum
FJ2615	Distal part of jejunum
FJ2616	Distal part of jejunum
FJ2617	Proximal part of jejunum
FJ2618	Distal part of jejunum
FJ2619	Distal part of jejunum
FJ2620	Distal part of jejunum
FJ2621	Distal part of jejunum
FJ2622	Proximal part of jejunum
FJ2623	Proximal part of jejunum
FJ2624	Proximal part of jejunum
FJ2625	Proximal part of jejunum
FJ2626	Proximal part of jejunum
FJ2627	Proximal part of jejunum
FJ2628	Middle part of jejunum
FJ2629	Parenchyma of pancreas
FJ2630	Pancreatic duct tree
FJ2761	Tongue
FJ2765	Left sublingual gland
FJ2766	Left submandibular gland
FJ2767	Right sublingual gland
FJ2768	Right submandibular gland
FJ2816	Caudate lobe of liver
FJ2817	Gallbladder
FJ3071	Anterior superior tributary of right hepatic biliary tree
FJ3072	Anterior inferior tributary of right hepatic biliary tree
FJ3079	Common hepatic duct
FJ3080	Cystic duct
FJ3088	Lateral superior tributary of left hepatic biliary tree
FJ3089	Lateral inferior tributary of left hepatic biliary tree
FJ3090	Lateral superior tributary of left hepatic biliary tree
FJ3094	Left duct of caudate lobe of liver
FJ3096	Left hepatic duct
FJ3103	Medial inferior tributary of left hepatic biliary tree
FJ3104	Medial superior tributary of left hepatic biliary tree
FJ3105	Medial superior tributary of left hepatic biliary tree
FJ3108	Posterior inferior tributary of right hepatic biliary tree
FJ3109	Posterior superior tributary of right hepatic biliary tree
FJ3110	Posterior superior tributary of right hepatic biliary tree
FJ3123	Right hepatic duct
FJ3396	Mesentery of small intestine
FJ3397	Mesoappendix
FJ3398	Transverse mesocolon
