FJ1283	Left anterior ethmoidal nerve
FJ1288	Left ciliary ganglion
FJ1290	Left frontal nerve
FJ1293	Inferior branch of left oculomotor nerve
FJ1296	Left infratrochlear nerve
FJ1300	Left lacrimal nerve
FJ1310	Left nasociliary nerve
FJ1311	Communicating branch of left nasociliary nerve with left ciliary ganglion
FJ1312	Left ophthalmic nerve
FJ1313	Left optic nerve
FJ1315	Left posterior ethmoidal nerve
FJ1318	Left long ciliary nerve
FJ1319	Short ciliary nerve
FJ1321	Superior branch of left oculomotor nerve
FJ1325	Left supra-orbital nerve
FJ1326	Left supratrochlear nerve
FJ1330	Left trochlear nerve
FJ1333	Right anterior ethmoidal nerve
FJ1339	Right ciliary ganglion
FJ1341	Right frontal nerve
FJ1344	Inferior branch of right oculomotor nerve
FJ1347	Right infratrochlear nerve
FJ1351	Right lacrimal nerve
FJ1361	Right nasociliary nerve
FJ1362	Communicating branch of right nasociliary nerve with right ciliary ganglion
FJ1363	Right ophthalmic nerve
FJ1364	Right optic nerve
FJ1366	Right posterior ethmoidal nerve
FJ1369	Right long ciliary nerve
FJ1370	Short ciliary nerve
FJ1372	Superior branch of right oculomotor nerve
FJ1376	Right supra-orbital nerve
FJ1377	Right supratrochlear nerve
FJ1381	Right trochlear nerve
FJ1732	Left angular gyrus
FJ1733	Right angular gyrus
FJ1734	Anterior commissure
FJ1735	Brachium of left superior colliculus
FJ1736	Brachium of right superior colliculus
FJ1737	Central canal of spinal cord
FJ1738	Cerebral aqueduct
FJ1739	Left cingulate gyrus
FJ1740	Right cingulate gyrus
FJ1741	Commissure of fornix of forebrain
FJ1742	Corpus callosum
FJ1743	Habenula
FJ1744	Left inferior frontal gyrus
FJ1745	Right inferior frontal gyrus
FJ1746	Left inferior temporal gyrus
FJ1747	Right inferior temporal gyrus
FJ1748	Left insula
FJ1749	Right insula
FJ1750	Left internal capsule
FJ1751	Right internal capsule
FJ1753	Left amygdala
FJ1754	Left caudate nucleus
FJ1756	Left fornix of forebrain
FJ1757	Left globus pallidus
FJ1758	White matter of left cerebral hemisphere
FJ1759	Left hippocampus
FJ1760	Hypothalamus
FJ1761	Brachium of left inferior colliculus
FJ1762	Left inferior colliculus
FJ1763	Interpeduncular fossa
FJ1764	Lamina terminalis
FJ1766	Left lateral geniculate body
FJ1768	Mammillary body
FJ1769	Medulla oblongata
FJ1770	Midbrain
FJ1771	Optic chiasm
FJ1772	Left optic nerve
FJ1773	Left optic tract
FJ1774	Peduncle of midbrain
FJ1775	Pons
FJ1776	Left putamen
FJ1777	Left stria medullaris of thalamus
FJ1778	Left stria terminalis
FJ1779	Left superior colliculus
FJ1780	Tuber cinereum
FJ1781	Cerebellum
FJ1782	Left thalamus
FJ1783	Left fusiform gyrus
FJ1784	Right fusiform gyrus
FJ1785	Left parahippocampal gyrus
FJ1786	Right parahippocampal gyrus
FJ1787	Left middle frontal gyrus
FJ1788	Right middle frontal gyrus
FJ1789	Left middle temporal gyrus
FJ1790	Right middle temporal gyrus
FJ1791	Left occipital lobe
FJ1792	Right occipital lobe
FJ1793	Orbital gyrus
FJ1794	Orbital gyrus
FJ1797	Left postcentral gyrus
FJ1798	Right postcentral gyrus
FJ1799	Posterior commissure
FJ1800	Left precentral gyrus
FJ1801	Right precentral gyrus
FJ1802	Right caudate nucleus
FJ1804	Right fornix of forebrain
FJ1805	Right globus pallidus
FJ1806	White matter of right cerebral hemisphere
FJ1807	Right hippocampus
FJ1808	Hypothalamus
FJ1809	Brachium of right inferior colliculus
FJ1810	Right inferior colliculus
FJ1811	Interpeduncular fossa
FJ1812	Lamina terminalis
FJ1813	Right lateral geniculate body
FJ1815	Mammillary body
FJ1816	Right medial geniculate body
FJ1816M	Left medial geniculate body
FJ1817	Midbrain
FJ1818	Optic chiasm
FJ1819	Right optic nerve
FJ1820	Right optic tract
FJ1821	Peduncle of midbrain
FJ1822	Pons
FJ1823	Right putamen
FJ1824	Right stria medullaris of thalamus
FJ1825	Stria terminalis
FJ1826	Right superior colliculus
FJ1827	Right thalamus
FJ1828	Tuber cinereum
FJ1829	Right amygdala
FJ1830	Cerebellum
FJ1831	Medulla oblongata
FJ1832	Septum of telencephalon
FJ1833	Left superior frontal gyrus
FJ1834	Right superior frontal gyrus
FJ1835	Left superior parietal lobule
FJ1836	Right superior parietal lobule
FJ1837	Anterior part of left superior temporal gyrus
FJ1838	Anterior part of right superior temporal gyrus
FJ1839	Posterior part of left superior temporal gyrus
FJ1840	Posterior part of right superior temporal gyrus
FJ1841	Left supramarginal gyrus
FJ1842	Right supramarginal gyrus
FJ1843	Tentorium cerebelli
