FJ1282	Anterior chamber of left eyeball
FJ1285	Left choroid
FJ1286	Left choroid
FJ1287	Left corona ciliaris
FJ1289	Left cornea
FJ1291	Left common tendinous ring
FJ1297	Left iris
FJ1298	Left lacrimal canaliculus
FJ1299	Left lacrimal gland
FJ1301	Left lacrimal lake
FJ1302	Left nasolacrimal duct
FJ1305	Left lens
FJ1309	Left lacrimal sac
FJ1316	Optic part of left retina
FJ1317	Left sclera
FJ1320	Suspensory ligament of left lens
FJ1324	Tarsal plate of left upper eyelid
FJ1328	Tarsal plate of left lower eyelid
FJ1331	Left vitreous body
FJ1332	Anterior chamber of right eyeball
FJ1336	Right choroid
FJ1337	Right choroid
FJ1338	Right corona ciliaris
FJ1340	Right cornea
FJ1342	Right common tendinous ring
FJ1348	Right iris
FJ1349	Right lacrimal canaliculus
FJ1350	Right lacrimal gland
FJ1352	Right lacrimal lake
FJ1353	Right nasolacrimal duct
FJ1356	Right lens
FJ1360	Right lacrimal sac
FJ1367	Optic part of right retina
FJ1368	Right sclera
FJ1371	Suspensory ligament of right lens
FJ1375	Tarsal plate of right upper eyelid
FJ1379	Tarsal plate of right lower eyelid
FJ1382	Right vitreous body
FJ1471	Flexor retinaculum of right wrist
FJ1471M	Flexor retinaculum of left wrist
FJ1755	Choroid plexus of cerebral hemisphere
FJ1803	Choroid plexus of cerebral hemisphere
FJ2811	External ear
FJ3265	Left lacrimal bone
FJ3371	Right lacrimal bone
