FJ1252	Gingiva of upper jaw
FJ1253	Gingiva of lower jaw
FJ1254	Left lower first secondary molar tooth
FJ1255	Left lower first secondary premolar tooth
FJ1256	Left lower second secondary molar tooth
FJ1257	Left lower second secondary premolar tooth
FJ1258	Left lower central secondary incisor tooth
FJ1259	Left lower lateral secondary incisor tooth
FJ1260	Left lower secondary canine tooth
FJ1261	Left upper first secondary molar tooth
FJ1262	Left upper first secondary premolar tooth
FJ1263	Left upper second secondary molar tooth
FJ1264	Left upper second secondary premolar tooth
FJ1265	Left upper central secondary incisor tooth
FJ1266	Left upper lateral secondary incisor tooth
FJ1267	Left upper secondary canine tooth
FJ1268	Right lower first secondary molar tooth
FJ1269	Right lower first secondary premolar tooth
FJ1270	Right lower second secondary molar tooth
FJ1271	Right lower second secondary premolar tooth
FJ1272	Right lower central secondary incisor tooth
FJ1273	Right lower lateral secondary incisor tooth
FJ1274	Right lower secondary canine tooth
FJ1275	Right upper second secondary molar tooth
FJ1276	Right upper first secondary molar tooth
FJ1277	Right upper first secondary premolar tooth
FJ1278	Right upper second secondary premolar tooth
FJ1279	Right upper central secondary incisor tooth
FJ1280	Right upper lateral secondary incisor tooth
FJ1281	Right upper secondary canine tooth
FJ1409	Right fibularis brevis
FJ1409M	Left fibularis brevis
FJ1410	Right fibularis longus
FJ1410M	Left fibularis longus
FJ1411	Right fibularis tertius
FJ1411M	Left fibularis tertius
FJ1423	Right iliotibial tract
FJ1423M	Left iliotibial tract
FJ1439	Right tibialis anterior
FJ1439M	Left tibialis anterior
FJ1440	Right tibialis posterior
FJ1440M	Left tibialis posterior
FJ1504	Right subscapularis
FJ1504M	Left subscapularis
FJ1532	Right levator scapulae
FJ1532M	Left levator scapulae
FJ2440	Cricoid cartilage
FJ2554	Right major alar cartilage
FJ2555	Left major alar cartilage
FJ2769	Cricoid cartilage
FJ2772	Hyoid bone
FJ2773	Left cuneiform cartilage
FJ2775	Left arytenoid cartilage
FJ2776	Left corniculate cartilage
FJ2792	Right arytenoid cartilage
FJ2793	Right corniculate cartilage
FJ2795	Right cuneiform cartilage
FJ2808	Thyroid cartilage
FJ3152	Right hip bone
FJ3153	Xiphoid process
FJ3154	Tenth thoracic vertebra
FJ3155	Eleventh thoracic vertebra
FJ3156	Twelfth thoracic vertebra
FJ3157	First lumbar vertebra
FJ3158	First thoracic vertebra
FJ3159	Second lumbar vertebra
FJ3160	Second thoracic vertebra
FJ3161	Third cervical vertebra
FJ3162	Third lumbar vertebra
