FJ1853	Hepatic portal vein
FJ1858	Hepatovenous segment IX
FJ1867	Tributary of middle hepatic vein
FJ1893	Left portal vein
FJ1913	Right portal vein
FJ1914	Caudate lobe branch of right portal vein
FJ1981	Accessory hemiazygos vein
FJ1985	Set of anterior intercostal veins
FJ1986	Left superior intercostal vein
FJ1987	Left subcostal vein
FJ1988	Left musculophrenic vein
FJ1991	Right superior intercostal vein
FJ1993	Right internal thoracic vein
FJ1994	Set of anterior intercostal veins
FJ1995	Right subcostal vein
FJ1996	Right musculophrenic vein
FJ2056	Deep dorsal vein of penis
FJ2059	Dorsal venous arch of left foot
FJ2060	Dorsal venous arch of left foot
FJ2061	Dorsal venous arch of right foot
FJ2062	Dorsal venous arch of right foot
FJ2097	Left anterior tibial vein
FJ2099	Left deep femoral vein
FJ2100	Set of perforating veins
FJ2102	Left femoral vein
FJ2103	Left great saphenous vein
FJ2107	Left genicular vein
FJ2108	Left genicular vein
FJ2113	Tributary of plantar venous arch
FJ2115	Tributary of plantar venous arch
FJ2117	Left popliteal vein
FJ2118	Left posterior tibial vein
FJ2119	Set of perforating veins
FJ2120	Set of plantar digital veins
FJ2121	Left small saphenous vein
FJ2122	Left superficial epigastric vein
FJ2124	Left genicular vein
FJ2125	Left genicular vein
FJ2128	Plantar venous arch of left foot
FJ2129	Plantar venous arch of right foot
FJ2132	Right anterior tibial vein
FJ2135	Right deep femoral vein
FJ2138	Set of perforating veins
FJ2144	Right femoral vein
FJ2145	Right great saphenous vein
FJ2151	Right genicular vein
FJ2153	Right genicular vein
FJ2160	Tributary of plantar venous arch
FJ2165	Tributary of plantar venous arch
FJ2171	Right popliteal vein
FJ2173	Right posterior tibial vein
FJ2174	Set of perforating veins
FJ2175	Set of plantar digital veins
FJ2176	Right small saphenous vein
FJ2178	Right superficial epigastric vein
FJ2181	Right genicular vein
FJ2182	Right genicular vein
FJ2183	Left anterior tibial vein
FJ2184	Left fibular vein
FJ2185	Set of dorsal digital veins
FJ2186	Dorsal metacarpal vein
FJ2187	Left fibular vein
FJ2188	Left lateral circumflex femoral vein
FJ2189	Left medial circumflex femoral vein
FJ2190	Right fibular vein
FJ2191	Plantar metatarsal vein
FJ2192	Set of perforating veins
FJ2193	Right anterior tibial vein
FJ2194	Right fibular vein
FJ2198	Set of dorsal digital veins
FJ2199	Dorsal metacarpal vein
FJ2200	Right fibular vein
FJ2201	Right lateral circumflex femoral vein
FJ2202	Right medial circumflex femoral vein
FJ2207	Plantar metatarsal vein
FJ2208	Superficial dorsal vein of penis
FJ2213	Left anterior circumflex humeral vein
FJ2217	Left axillary vein
FJ2218	Left basilic vein
FJ2220	Left cephalic vein
FJ2222	Left circumflex scapular vein
FJ2228	Dorsal venous network of left hand
FJ2229	Left deep palmar venous arch
FJ2233	Left lateral thoracic vein
FJ2234	Left median antebrachial vein
FJ2235	Left median cubital vein
FJ2238	Left palmar metacarpal vein
FJ2244	Left radial vein
FJ2247	Left subscapular vein
FJ2249	Left superficial palmar venous arch
FJ2250	Left suprascapular vein
FJ2254	Left thoracodorsal vein
FJ2260	Left ulnar vein
FJ2265	Right anterior circumflex humeral vein
FJ2269	Right axillary vein
FJ2270	Right basilic vein
FJ2272	Right cephalic vein
FJ2274	Right circumflex scapular vein
FJ2280	Dorsal venous network of right hand
FJ2281	Right deep palmar venous arch
FJ2285	Right lateral thoracic vein
FJ2286	Right median antebrachial vein
FJ2287	Right median cubital vein
FJ2290	Right palmar metacarpal vein
FJ2296	Right radial vein
FJ2299	Right subscapular vein
FJ2301	Right superficial palmar venous arch
FJ2302	Right suprascapular vein
FJ2306	Right thoracodorsal vein
FJ2312	Right ulnar vein
FJ2313	Left medial brachial vein
FJ2319	Proper palmar digital vein of left little finger
FJ2320	Left palmar metacarpal vein
FJ2321	Proper palmar digital vein of left little finger
FJ2322	Common palmar digital vein
FJ2323	Left palmar metacarpal vein
FJ2324	Proper palmar digital vein of left index finger
FJ2325	Proper palmar digital vein of left index finger
FJ2326	Proper palmar digital vein of left middle finger
FJ2327	Proper palmar digital vein of left ring finger
FJ2328	Proper palmar digital vein of left ring finger
FJ2329	Proper palmar digital vein of left little finger
FJ2340	Proper palmar digital vein of left middle finger
FJ2341	Right medial brachial vein
FJ2349	Proper palmar digital vein of right little finger
FJ2350	Right palmar metacarpal vein
FJ2351	Proper palmar digital vein of right little finger
FJ2352	Common palmar digital vein
FJ2353	Right palmar metacarpal vein
FJ2354	Proper palmar digital vein of right index finger
FJ2355	Proper palmar digital vein of right index finger
FJ2356	Proper palmar digital vein of right middle finger
FJ2357	Proper palmar digital vein of right middle finger
FJ2358	Proper palmar digital vein of right ring finger
FJ2359	Proper palmar digital vein of right ring finger
FJ2360	Proper palmar digital vein of right little finger
FJ2404	Left portal vein
FJ2405	Right portal vein
FJ2409	Hepatovenous segment VII
FJ2414	Middle hepatic vein
FJ2415	Left hepatic vein
FJ2416	Right hepatic vein
FJ2655	Coronary sinus
FJ2656	Great cardiac vein
FJ2657	Anterior interventricular vein
FJ2658	Anterior interventricular vein
FJ2659	Anterior interventricular vein
FJ2660	Anterior interventricular vein
FJ2661	Anterior interventricular vein
FJ2662	Anterior interventricular vein
FJ2663	Anterior interventricular vein
FJ2664	Anterior interventricular vein
